3,2.2102e-10,-0.52568,0,0.26168,109,-0.004481
7,9.4117e-05,-0.33954,0,0.87591,406,0.00048144
19,4.5458e-09,-0.49117,0,0.71661,331,-0.0014498
31,2.3582e-05,0.36571,0,0.15646,59,0.0058705
32,0.00038831,0.31009,0,0.029316,12,0.01233
40,1.4199e-09,0.50491,0,0.65432,289,0.0018531
44,0.00031977,-0.31431,0,0.9699,452,0.00022243
46,5.8261e-07,-0.42627,0,0.9654,449,0.00018706
50,4.4416e-14,0.6059,0,0.52595,231,0.0026047
51,3.9583e-05,0.35618,0,0.15909,60,0.0050101
55,2.4317e-09,0.49863,0,0.31661,137,0.0039891
56,1.835e-11,0.55143,0,0.30389,132,0.0043704
57,2.494e-11,0.54837,0,0.19737,76,0.0052217
60,1.2567e-13,0.59719,0,0.19661,75,0.0051001
61,2.2699e-08,0.47112,0,0.26132,108,0.0043907
63,1.079e-09,-0.50806,0,0.64599,285,-0.0018282
67,9.0359e-13,0.57991,1,0.022013,8,0.0087761
73,6.8864e-07,0.42378,0,0.13497,52,0.0053922
82,0.00010188,-0.33797,0,0.57792,254,-0.0027481
88,1.2566e-08,0.47864,0,0.06051,23,0.0073508
94,3.1971e-05,0.36015,0,0.78431,361,0.0011233
95,4.6502e-14,0.60552,0,0.63696,280,0.0020483
97,2.2395e-06,-0.40559,0,0.79808,367,-0.00096244
102,1.221e-07,0.44867,0,0.49841,215,0.0024064
105,0.00010064,-0.33821,0,0.39928,169,-0.0031881
110,5.5318e-05,-0.34986,0,0.32877,143,-0.0034895
114,3.3406e-12,0.56788,0,0.48881,207,0.0027651
116,0.00010802,0.33681,0,0.041801,17,0.0096216
120,0.00013911,-0.33172,0,0.95192,444,0.00023546
121,1.7669e-09,-0.50237,0,0.47231,197,-0.0028408
122,4.7884e-05,-0.3526,0,0.84543,393,-0.00075101
129,0.00024929,-0.31963,0,0.22078,86,-0.0047658
139,2.2514e-10,-0.52548,0,0.59748,263,-0.0023256
142,2.0919e-06,-0.40667,0,0.095395,39,-0.0060216
144,1.0212e-09,-0.50869,0,0.88449,409,-0.00064683
159,7.4187e-05,-0.34421,0,0.5296,233,-0.0024208
163,6.5498e-12,0.56149,0,0.17293,68,0.0055092
164,3.7251e-05,0.35731,0,0.33904,149,0.0037142
174,2.2354e-09,0.49962,0,0.61702,270,0.0022747
175,3.8964e-05,0.35648,0,0.43042,176,0.0032773
181,4.8761e-12,0.5643,0,0.66,294,0.001866
183,4.4628e-14,0.60586,0,0.10169,42,0.0062898
191,2.9172e-11,0.5468,0,0.50987,225,0.0026838
193,1.4944e-08,0.47646,0,0.17252,66,0.0050131
194,0.00010517,0.33734,0,0.64784,286,0.0015216
195,0.00014164,-0.33135,0,0.69435,317,-0.0013893
198,3.8112e-06,-0.39703,0,0.27635,118,-0.004745
202,1.3002e-10,0.53135,1,0.028269,10,0.0087837
208,4.426e-08,0.4624,0,0.43617,178,0.0030788
209,1.58e-05,-0.37287,0,0.52459,230,-0.0026313
211,3.4193e-06,0.39879,0,0.22642,90,0.00446
221,1.8628e-08,-0.47366,0,0.2,77,-0.0051413
